Title,Monitoring and Controlling Resources,Interpreting the Meaning of Information for Others,Performing Administrative Activities,Resolving Conflicts and Negotiating with Others,"Inspecting Equipment, Structures, or Materials","Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",Controlling Machines and Processes,"Communicating with Supervisors, Peers, or Subordinates",Coaching and Developing Others,Repairing and Maintaining Mechanical Equipment,"Identifying Objects, Actions, and Events",Selling or Influencing Others,Working with Computers,Updating and Using Relevant Knowledge,Performing General Physical Activities,"Guiding, Directing, and Motivating Subordinates",Analyzing Data or Information,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Monitoring Processes, Materials, or Surroundings",Developing Objectives and Strategies,Coordinating the Work and Activities of Others,Handling and Moving Objects,Thinking Creatively,"Organizing, Planning, and Prioritizing Work",Evaluating Information to Determine Compliance with Standards,"Judging the Qualities of Objects, Services, or People",Establishing and Maintaining Interpersonal Relationships,Staffing Organizational Units,Repairing and Maintaining Electronic Equipment,Getting Information,Training and Teaching Others,"Operating Vehicles, Mechanized Devices, or Equipment",Performing for or Working Directly with the Public,Providing Consultation and Advice to Others,Communicating with People Outside the Organization,Processing Information,Developing and Building Teams,Documenting/Recording Information,Making Decisions and Solving Problems,Assisting and Caring for Others,Scheduling Work and Activities
Operating Engineers and Other Construction Equipment Operators,4,4,4,4,7,4,8,6,4,7,6,3,2,4,6,3,4,7,8,4,5,7,3,6,6,6,5,1,2,5,4,8,6,2,4,4,3,3,6,3,5
Drywall and Ceiling Tile Installers,2,1,1,1,3,4,2,3,2,1,2,1,0,1,5,2,1,2,3,1,3,6,2,3,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,2
Tapers,1,1,0,1,4,0,2,2,1,2,1,1,0,2,4,2,0,1,2,2,2,3,1,2,1,2,1,0,0,1,2,3,1,1,1,1,1,0,2,1,2
Electricians,5,3,2,4,5,5,4,7,4,5,4,2,2,6,9,5,3,4,6,3,6,8,4,8,4,5,5,2,5,4,5,4,3,4,4,3,5,3,5,2,4
Glaziers,2,2,2,3,6,4,4,5,4,2,4,1,1,4,6,3,2,3,4,3,3,7,4,5,4,4,4,1,2,3,4,4,3,2,4,4,3,2,3,3,4
"Insulation Workers, Floor, Ceiling, and Wall",2,1,2,3,4,1,3,3,2,4,4,2,0,2,5,2,1,3,3,1,2,7,3,3,2,2,2,1,1,2,2,4,3,1,2,1,2,1,3,1,2
"Insulation Workers, Mechanical",3,2,2,2,4,1,2,5,3,2,3,1,1,3,7,3,1,3,5,2,4,8,3,5,3,3,3,1,1,2,3,3,1,1,2,2,2,1,4,2,4
"Painters, Construction and Maintenance",3,3,3,4,4,1,3,4,3,2,3,3,1,3,5,4,2,3,4,3,5,5,3,4,3,3,4,1,1,2,2,3,3,2,3,3,3,2,3,3,3
Paperhangers,2,1,1,2,4,1,2,2,2,1,2,1,1,2,7,2,1,2,3,1,3,7,2,3,1,3,4,1,1,1,1,3,2,1,2,1,2,1,2,1,2
Pipelayers,2,1,1,2,6,2,7,5,3,5,4,1,1,2,8,2,2,3,5,1,2,8,3,2,5,4,4,1,2,3,1,6,2,1,2,2,2,1,4,2,2
"Plumbers, Pipefitters, and Steamfitters",3,1,2,2,5,5,5,4,3,5,4,1,2,4,6,3,2,3,5,2,3,7,3,6,3,3,3,2,2,3,3,5,2,2,2,3,3,2,4,2,4
Solar Thermal Installers and Technicians,2,4,1,4,4,4,3,6,4,3,4,3,2,4,6,2,3,4,5,3,3,5,5,4,4,4,5,1,3,3,4,2,4,3,3,5,4,3,3,1,3
Plasterers and Stucco Masons,4,2,2,2,4,2,4,3,4,3,4,1,2,3,6,5,3,4,3,3,6,6,4,3,4,5,4,1,1,4,3,3,3,2,3,3,3,2,4,3,2
Reinforcing Iron and Rebar Workers,2,2,1,2,4,2,3,4,3,2,4,1,1,2,7,4,1,4,3,2,4,8,2,5,2,3,2,1,1,3,4,3,1,1,2,2,4,1,3,2,3
Roofers,4,3,3,4,5,3,4,5,5,4,5,3,1,5,7,4,2,4,6,3,5,8,4,5,5,5,3,1,2,4,4,4,3,1,4,3,4,2,4,2,4
Sheet Metal Workers,5,1,4,4,5,4,3,4,6,4,5,4,2,4,6,5,2,4,6,3,5,6,3,5,5,4,6,3,4,3,4,4,5,4,5,4,4,4,3,3,4
Structural Iron and Steel Workers,1,2,1,2,6,3,5,5,2,2,4,0,0,2,7,3,1,3,4,3,4,8,3,5,4,3,3,0,1,3,2,5,1,1,1,2,4,1,4,2,3
Solar Photovoltaic Installers,3,3,2,3,6,3,3,4,4,4,5,2,1,5,8,3,3,4,6,2,5,8,4,5,4,3,4,1,4,3,4,4,3,3,3,4,4,2,4,2,2
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",1,2,0,1,6,4,5,4,2,3,5,1,0,4,6,3,2,4,6,3,4,8,4,5,3,5,2,1,1,3,3,4,1,1,1,3,3,1,5,2,4
Helpers--Carpenters,1,1,1,2,4,3,5,3,2,4,3,0,1,4,8,1,2,3,3,2,2,7,3,4,4,4,2,1,3,3,1,5,1,0,1,2,2,1,4,2,2
Helpers--Electricians,5,3,4,5,6,7,5,6,5,5,5,4,2,6,7,5,5,6,7,5,6,7,5,7,6,7,5,2,8,4,5,5,5,5,4,6,5,4,6,4,5
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1,0,1,2,3,1,1,4,1,3,1,1,0,2,5,1,1,2,2,1,2,5,1,2,2,2,3,1,0,1,2,2,1,1,1,1,1,0,2,1,2
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",4,2,2,2,7,2,4,3,1,4,5,1,1,4,6,4,1,4,5,5,4,7,6,4,6,6,3,1,1,4,1,3,4,2,2,3,2,1,5,3,3
Helpers--Roofers,4,4,5,4,4,4,3,4,3,4,4,2,3,5,4,3,4,3,5,4,5,4,5,4,3,4,4,2,5,2,3,4,3,4,4,3,4,3,5,4,4
Construction and Building Inspectors,2,3,4,4,5,1,1,5,4,1,4,1,3,5,4,3,3,2,4,2,3,2,3,5,6,4,5,2,1,4,3,3,4,3,5,4,2,4,4,1,3
Energy Auditors,3,4,5,3,6,3,3,4,4,3,5,4,5,6,4,3,5,6,6,4,3,4,3,5,6,5,4,1,2,5,4,3,4,4,5,6,3,5,5,1,4
Elevator and Escalator Installers and Repairers,4,1,2,2,6,6,7,3,3,8,4,1,3,5,7,2,3,2,5,2,3,5,1,5,7,3,4,0,8,3,4,4,3,2,3,5,3,3,4,1,4
Fence Erectors,3,2,2,3,4,4,5,4,4,3,2,1,1,2,6,4,1,3,2,2,4,7,2,5,2,2,4,2,2,1,3,4,3,2,2,3,3,2,3,3,4
Hazardous Materials Removal Workers,4,2,4,3,5,3,3,5,3,3,4,2,2,4,6,3,3,4,5,3,4,5,3,3,5,5,5,2,3,3,3,3,2,3,3,4,5,4,3,3,4
Highway Maintenance Workers,4,3,5,4,6,3,5,8,3,2,4,6,3,4,5,4,3,3,5,3,6,3,3,8,4,5,7,2,1,3,4,6,7,3,5,3,7,3,3,5,3
Rail-Track Laying and Maintenance Equipment Operators,3,3,3,2,5,3,5,4,3,5,4,2,1,5,6,4,3,5,5,3,4,7,4,5,4,4,3,2,1,4,3,6,3,2,2,3,3,3,5,3,4
Septic Tank Servicers and Sewer Pipe Cleaners,2,2,1,1,4,1,3,3,2,3,3,1,0,3,6,1,1,2,3,2,1,5,2,3,2,2,4,0,1,4,2,6,4,1,3,2,0,3,3,1,2
Segmental Pavers,3,2,2,3,5,2,5,5,4,4,3,4,0,2,7,4,2,4,4,2,5,8,3,4,4,3,5,2,0,3,4,5,4,2,3,3,5,1,4,3,3
Weatherization Installers and Technicians,5,3,4,4,5,4,4,5,5,5,5,2,3,5,6,4,3,5,5,4,4,6,3,6,5,4,4,3,3,4,4,4,4,3,3,4,5,4,4,3,5
"Derrick Operators, Oil and Gas",3,2,3,2,6,2,6,4,3,7,4,1,2,2,7,2,1,3,5,1,3,7,2,2,1,3,2,2,2,2,3,4,1,1,3,2,4,3,3,2,2
"Rotary Drill Operators, Oil and Gas",4,4,5,3,8,3,7,6,4,7,6,2,1,4,8,5,3,5,6,3,5,8,4,4,5,6,3,3,3,5,5,6,2,3,2,5,5,4,5,3,4
"Service Unit Operators, Oil and Gas",3,4,6,5,7,4,7,6,6,7,6,4,1,5,7,5,2,6,8,4,7,7,4,6,5,8,7,3,4,5,6,5,2,4,5,5,7,3,5,6,5
"Excavating and Loading Machine and Dragline Operators, Surface Mining",3,2,1,3,7,3,8,5,5,6,4,1,1,4,6,4,3,5,6,4,5,8,4,5,5,5,4,1,3,3,4,8,2,3,2,4,4,3,5,3,4
"Earth Drillers, Except Oil and Gas",4,3,2,3,8,3,7,4,2,7,5,3,1,3,6,3,3,5,6,3,3,6,4,3,4,5,2,1,3,3,3,6,4,2,2,3,3,2,5,3,3
"Explosives Workers, Ordnance Handling Experts, and Blasters",6,3,6,3,7,3,6,5,5,4,7,2,2,7,7,5,4,7,7,3,5,7,4,6,8,7,4,2,2,6,6,5,4,3,4,5,5,6,7,2,6
Continuous Mining Machine Operators,2,2,0,1,6,2,7,5,2,6,4,1,1,4,4,2,3,3,4,3,4,5,3,4,5,4,2,1,4,3,4,6,1,2,1,2,4,1,6,3,3
"Roof Bolters, Mining",3,3,0,1,7,2,7,6,3,7,6,0,0,4,5,3,2,4,8,2,5,6,1,3,5,4,0,0,5,3,6,7,0,2,1,4,3,2,5,3,2
"Loading and Moving Machine Operators, Underground Mining",2,1,1,2,6,1,6,3,2,5,4,1,1,1,4,2,1,2,4,1,3,5,2,2,3,2,2,1,2,3,2,6,1,1,0,2,2,1,1,1,1
"Rock Splitters, Quarry",1,1,0,1,4,1,4,3,1,4,2,1,0,2,6,1,2,3,4,2,2,6,2,2,2,3,3,0,1,2,2,3,0,1,0,2,1,1,2,2,1
"Roustabouts, Oil and Gas",4,2,1,3,7,3,7,4,4,5,4,2,1,3,7,3,2,4,6,3,5,6,4,6,4,5,4,0,3,3,3,8,2,3,3,3,3,4,4,4,6
Helpers--Extraction Workers,9,5,3,4,7,4,9,7,6,8,4,2,1,4,7,5,5,7,6,6,5,9,4,5,6,5,4,2,5,3,3,9,2,4,3,5,6,5,6,5,5
"First-Line Supervisors of Mechanics, Installers, and Repairers",6,3,5,4,5,4,4,6,6,5,4,3,5,6,4,7,3,4,7,5,7,6,5,7,5,5,4,4,5,4,4,5,1,4,4,4,5,5,5,3,5
"Computer, Automated Teller, and Office Machine Repairers",3,1,2,2,5,2,3,2,1,5,4,1,5,6,2,1,3,2,4,1,1,3,3,3,1,1,2,0,8,4,2,2,3,2,6,2,1,2,6,1,2
"Radio, Cellular, and Tower Equipment Installers and Repairers",3,4,4,4,7,6,4,6,4,4,6,3,6,8,6,4,4,4,7,4,5,7,6,7,5,6,4,1,8,4,4,5,4,4,5,6,3,5,6,3,6
"Telecommunications Equipment Installers and Repairers, Except Line Installers",1,3,2,3,4,2,2,5,2,2,4,2,5,6,6,1,3,2,5,2,2,5,4,5,2,4,4,0,6,4,4,4,5,3,4,3,2,3,5,2,2
Avionics Technicians,3,4,4,2,6,5,5,5,4,5,4,2,5,8,4,3,5,3,5,3,4,5,4,5,6,5,4,1,8,5,5,3,1,3,3,5,4,7,5,2,3
"Electric Motor, Power Tool, and Related Repairers",4,3,4,2,6,4,6,5,4,7,6,2,2,4,6,3,3,5,6,3,4,7,4,6,4,4,4,2,7,5,3,4,1,3,3,4,3,4,4,2,4
"Electrical and Electronics Installers and Repairers, Transportation Equipment",3,2,3,1,6,4,6,6,4,5,4,1,5,5,6,3,4,5,6,3,4,6,4,5,5,5,3,1,4,4,4,4,2,3,2,5,3,3,5,2,3
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",2,3,2,2,6,5,5,4,4,5,5,1,5,5,4,3,4,4,6,3,2,5,4,5,4,4,4,1,9,4,4,1,1,3,2,4,2,5,5,1,2
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",3,3,3,2,8,4,6,4,4,6,6,0,4,6,5,2,4,4,7,2,2,5,3,5,5,5,4,0,9,4,3,3,1,3,1,5,1,5,6,2,3
"Electronic Equipment Installers and Repairers, Motor Vehicles",1,3,2,2,4,5,3,3,4,3,4,3,5,8,6,4,4,3,5,3,4,8,6,5,3,4,4,1,5,4,4,3,5,5,3,5,3,2,6,2,3
Audiovisual Equipment Installers and Repairers,3,2,3,4,4,3,3,4,2,2,4,3,5,7,3,3,4,3,5,3,4,6,4,6,3,4,4,1,5,4,3,2,4,3,4,4,2,3,5,1,3
Security and Fire Alarm Systems Installers,1,2,2,2,4,3,2,5,2,3,5,1,4,6,6,2,2,3,3,2,2,6,3,4,4,4,4,1,7,3,3,4,4,2,5,3,1,4,4,1,3
Aircraft Mechanics and Service Technicians,3,5,5,3,8,5,6,6,5,8,7,2,5,7,4,4,5,4,8,4,4,6,4,5,8,7,4,1,7,6,4,6,2,3,2,4,4,8,6,3,4
Automotive Body and Related Repairers,3,2,2,2,5,2,3,4,3,5,4,2,2,6,4,2,2,4,5,4,2,6,5,6,4,4,3,1,3,3,3,5,2,2,2,4,2,2,4,1,4
Automotive Glass Installers and Repairers,1,1,2,2,2,1,2,2,1,1,3,2,1,3,6,1,1,2,3,0,1,7,3,3,2,3,2,0,1,2,1,3,5,1,2,2,1,1,2,0,1
Automotive Service Technicians and Mechanics,2,3,2,2,5,3,5,3,3,7,5,2,4,7,5,2,4,3,6,2,2,7,3,4,5,5,4,1,6,5,3,5,3,2,2,3,2,3,5,2,2
Bus and Truck Mechanics and Diesel Engine Specialists,2,2,2,1,6,3,6,3,3,8,6,1,3,6,6,1,4,4,6,3,2,6,3,4,4,3,3,0,6,5,2,5,1,3,1,4,1,4,4,1,2
Farm Equipment Mechanics and Service Technicians,2,1,1,2,5,2,5,4,1,7,5,2,3,4,6,2,3,3,5,3,1,7,4,4,3,5,4,1,5,3,2,5,4,2,3,4,1,3,5,1,3
"Mobile Heavy Equipment Mechanics, Except Engines",4,3,2,3,6,5,6,4,3,8,4,2,4,5,7,2,4,4,5,3,2,7,4,5,3,5,4,1,6,3,3,7,2,3,2,4,2,4,5,2,3
Rail Car Repairers,2,1,1,1,5,3,5,3,3,5,4,1,1,3,5,2,3,3,5,2,2,7,3,4,3,4,3,1,2,4,3,5,1,1,2,2,2,3,4,2,2
Motorboat Mechanics and Service Technicians,3,2,2,1,4,2,5,3,2,6,3,2,3,6,6,1,3,4,4,2,2,7,2,4,3,3,4,1,5,3,2,5,4,2,3,3,1,2,4,1,2
Motorcycle Mechanics,4,3,2,3,7,5,6,5,2,8,5,2,5,7,6,3,5,5,6,4,3,7,5,6,4,6,4,1,6,5,3,7,5,3,4,4,3,4,6,2,5
Outdoor Power Equipment and Other Small Engine Mechanics,1,2,3,2,5,2,5,3,3,7,4,3,3,5,5,2,2,4,4,2,2,5,2,3,3,4,3,1,2,3,3,4,2,2,2,3,1,3,4,2,2
Bicycle Repairers,4,2,2,3,3,1,4,5,2,6,5,7,2,6,5,4,2,2,3,2,3,7,2,6,1,4,4,1,1,4,2,1,7,3,2,2,2,3,3,5,5
Recreational Vehicle Service Technicians,2,3,2,2,4,3,4,4,3,5,4,3,2,4,6,2,2,3,5,2,3,6,3,4,4,5,4,1,5,4,3,4,3,3,4,3,3,2,4,2,4
Tire Repairers and Changers,3,2,2,2,5,2,4,4,3,4,4,4,2,3,5,2,3,5,5,2,3,6,2,3,3,5,3,1,2,4,3,4,4,2,3,3,2,2,4,2,2
Mechanical Door Repairers,2,1,2,3,4,3,3,3,2,4,3,3,1,3,6,2,2,3,5,1,3,6,3,3,3,3,4,1,3,3,3,4,5,2,4,3,2,2,3,2,3
"Control and Valve Installers and Repairers, Except Mechanical Door",2,3,2,2,7,4,4,6,4,8,5,2,4,6,5,3,4,5,6,3,3,6,4,6,6,5,4,0,4,5,4,5,2,2,3,5,3,5,5,3,4
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3,2,1,3,5,3,4,3,4,4,4,3,2,4,6,3,3,3,4,2,4,6,3,4,4,4,4,1,4,3,3,4,3,2,4,4,3,3,4,2,3
Home Appliance Repairers,3,2,2,2,3,2,2,2,2,5,4,2,2,6,5,2,3,3,4,2,2,7,2,4,2,3,3,1,4,4,3,4,7,2,4,3,2,3,4,1,3
Industrial Machinery Mechanics,3,3,2,1,5,4,6,5,3,6,5,1,3,6,6,2,3,4,6,3,3,6,4,4,3,3,3,0,4,3,3,4,0,2,1,3,2,4,4,3,2
"Maintenance Workers, Machinery",2,1,2,1,5,3,7,4,2,8,4,1,2,3,6,1,2,3,6,2,2,6,4,4,2,3,4,1,4,3,2,4,1,2,1,2,2,2,3,1,3
Millwrights,5,4,3,3,8,7,7,5,7,10,5,3,2,6,7,6,3,4,6,3,7,9,4,6,4,6,4,3,2,4,5,5,1,3,3,3,7,4,6,3,5
"Refractory Materials Repairers, Except Brickmasons",3,1,1,1,5,2,3,3,2,4,4,0,1,3,6,1,2,3,3,2,3,7,2,4,3,2,2,1,1,2,3,4,0,2,1,3,2,2,4,1,2
Electrical Power-Line Installers and Repairers,1,2,1,2,7,2,7,3,4,4,5,1,1,2,9,4,1,4,6,2,3,8,2,4,3,3,2,1,4,4,4,7,3,2,2,2,3,1,5,3,2
Telecommunications Line Installers and Repairers,2,2,2,3,4,2,3,3,2,3,4,3,4,5,8,2,3,3,5,2,3,6,4,5,3,3,4,1,4,3,3,4,5,2,4,3,2,3,4,3,3
Camera and Photographic Equipment Repairers,2,1,2,1,4,2,2,1,1,4,3,2,3,4,1,1,2,3,3,2,1,3,4,3,1,4,2,0,7,2,1,0,2,2,2,2,0,1,3,0,2
Medical Equipment Repairers,1,2,3,1,6,3,3,4,2,7,4,1,5,6,4,1,3,3,5,1,2,6,2,7,5,5,5,0,10,5,2,2,1,2,3,4,1,5,5,2,3
Musical Instrument Repairers and Tuners,5,1,6,3,5,2,6,3,3,5,4,4,3,5,3,2,2,3,4,2,2,6,5,5,2,6,4,1,2,4,3,1,6,2,4,2,2,2,5,1,4
Watch and Clock Repairers,6,1,3,2,6,5,5,0,0,7,6,3,1,4,2,0,5,6,7,3,1,4,3,4,3,8,3,0,4,4,1,1,6,1,3,3,0,3,5,1,3
"Maintenance and Repair Workers, General",3,3,3,4,7,4,6,7,3,7,5,1,3,6,6,2,4,5,6,2,3,7,6,7,5,4,4,1,6,4,3,5,3,2,4,4,3,4,6,2,4
Wind Turbine Service Technicians,3,3,4,3,8,3,8,6,4,10,5,1,5,5,9,3,4,4,6,3,4,8,3,6,5,5,4,1,10,4,5,5,0,3,2,5,5,5,5,4,3
"Coin, Vending, and Amusement Machine Servicers and Repairers",4,1,0,1,2,2,2,2,1,4,2,2,3,3,3,0,2,2,3,1,0,4,1,2,2,2,2,0,4,1,1,2,3,0,1,3,0,3,2,1,2
Commercial Divers,4,2,3,2,6,2,5,5,4,5,5,1,2,5,8,4,2,3,6,3,5,8,4,5,5,4,4,2,3,4,4,5,3,2,3,3,4,4,5,4,4
Locksmiths and Safe Repairers,7,2,6,4,4,2,6,4,5,5,4,5,3,6,4,3,2,3,3,2,3,6,4,6,4,3,5,3,4,4,4,4,6,4,4,3,2,3,4,2,5
Manufactured Building and Mobile Home Installers,7,7,9,6,7,4,9,9,8,7,4,5,1,7,9,9,2,4,6,4,9,9,6,9,9,7,7,6,3,4,6,10,8,5,7,4,10,4,8,3,9
Riggers,2,3,1,2,7,4,5,6,2,4,5,1,2,4,7,1,3,4,6,3,2,8,3,5,4,4,4,0,4,4,3,3,1,1,1,4,3,4,4,2,2
Signal and Track Switch Repairers,1,2,2,1,4,3,4,4,2,5,3,1,2,3,5,2,2,1,4,2,3,5,1,5,3,2,3,1,3,1,2,4,1,2,1,2,2,3,2,2,3
"Helpers--Installation, Maintenance, and Repair Workers",1,1,1,1,5,2,4,4,2,6,3,1,1,5,6,2,2,3,5,3,2,5,3,5,4,3,4,1,5,3,1,4,1,1,2,2,3,2,4,1,3
Geothermal Technicians,4,3,2,2,5,4,7,6,5,6,5,1,4,6,6,3,4,5,5,3,5,7,3,6,4,4,4,1,5,4,4,6,1,3,2,4,4,5,5,3,4
First-Line Supervisors of Production and Operating Workers,6,2,5,5,5,3,5,6,6,3,5,2,4,4,3,7,3,3,6,3,5,4,4,6,5,5,5,4,3,4,4,2,1,3,3,4,6,3,5,2,5
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",3,2,3,2,5,5,6,4,3,3,3,2,3,5,4,3,4,5,6,3,3,6,5,5,5,5,4,2,3,4,3,3,1,2,3,4,3,5,4,2,4
"Coil Winders, Tapers, and Finishers",2,3,2,2,6,1,4,3,4,2,4,1,2,2,4,2,2,4,5,3,2,5,2,3,3,5,3,2,2,4,3,1,1,2,1,3,3,1,4,2,3
Electrical and Electronic Equipment Assemblers,3,2,3,2,4,3,4,4,3,2,3,1,2,3,3,2,3,3,5,4,3,6,2,4,4,3,2,1,3,3,3,1,2,2,1,2,3,3,4,2,2
Electromechanical Equipment Assemblers,2,2,2,1,5,3,4,2,2,2,5,1,3,4,3,1,3,4,6,2,1,5,2,3,4,4,2,1,3,3,1,1,0,1,1,3,2,3,3,1,2
Engine and Other Machine Assemblers,2,1,1,1,4,2,7,3,2,4,3,1,2,4,5,1,2,3,4,2,2,8,3,3,3,3,4,1,3,2,2,3,1,2,1,3,2,2,3,1,2
Structural Metal Fabricators and Fitters,1,1,1,1,4,4,6,2,1,3,3,1,1,2,4,1,2,2,4,2,2,6,3,2,2,2,3,1,1,3,1,4,1,1,1,2,1,1,3,1,2
Fiberglass Laminators and Fabricators,2,2,2,1,5,2,4,3,3,3,4,1,1,3,6,3,2,4,4,2,3,6,3,3,3,6,3,1,1,3,3,2,1,3,1,2,3,3,4,1,3
Timing Device Assemblers and Adjusters,1,1,1,1,4,2,4,3,1,6,3,3,2,3,2,1,2,3,3,3,0,4,3,3,2,4,3,0,3,2,2,2,2,2,2,2,1,1,3,1,2
Team Assemblers,1,1,1,1,5,2,5,3,4,2,5,1,3,2,4,2,2,4,6,2,3,8,1,4,3,4,4,1,2,4,3,1,1,2,0,3,2,2,3,2,3
Bakers,1,1,1,2,4,0,2,2,2,0,4,1,1,1,2,2,1,1,3,1,2,3,2,4,1,3,2,0,0,2,3,1,2,1,1,1,1,1,2,2,2
Butchers and Meat Cutters,4,1,2,3,4,1,4,4,4,2,4,4,2,2,5,3,2,4,4,2,3,6,2,4,3,4,4,2,2,4,3,2,6,2,2,3,4,2,3,2,4
"Meat, Poultry, and Fish Cutters and Trimmers",3,3,2,2,5,1,4,4,3,2,6,1,1,4,5,2,3,5,4,1,3,7,2,5,4,5,4,2,2,4,4,2,1,2,1,4,4,2,4,3,2
Slaughterers and Meat Packers,2,1,1,1,4,0,3,2,1,2,4,1,0,1,4,1,1,2,5,1,2,6,1,2,2,2,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",3,3,3,3,5,2,6,5,3,3,5,2,3,2,4,4,3,3,5,3,4,5,2,4,3,3,4,2,3,4,4,3,2,4,2,4,4,4,5,2,3
Food Batchmakers,2,3,1,2,5,1,6,4,3,2,5,1,3,3,4,1,3,5,6,2,2,6,2,3,4,5,3,1,1,3,3,3,1,1,0,4,2,5,3,2,2
Food Cooking Machine Operators and Tenders,3,3,1,1,6,1,6,5,2,2,6,0,2,3,4,1,3,5,6,1,1,7,1,4,5,5,2,1,1,4,3,2,0,1,0,4,1,5,3,1,2
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",1,1,3,1,5,2,7,4,3,2,5,0,3,3,5,3,2,4,5,2,4,6,3,5,4,4,4,1,1,3,4,2,0,2,1,4,3,3,4,1,2
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",1,2,1,1,4,2,6,4,2,4,4,0,2,3,5,2,2,2,5,2,2,7,3,3,3,4,3,0,2,3,3,4,0,1,0,2,2,2,3,2,2
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",4,2,3,1,7,4,8,6,3,5,5,2,3,5,5,3,4,5,6,2,3,7,3,4,5,4,3,2,4,4,4,5,2,3,1,5,3,5,6,2,2
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",1,2,1,1,5,2,6,3,2,4,3,1,2,3,5,2,2,3,4,2,2,7,3,3,3,3,2,1,2,3,3,3,1,1,1,3,2,3,3,1,2
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,3,1,1,5,4,9,5,2,3,3,0,5,5,4,1,4,3,4,2,1,6,4,3,4,3,2,0,3,3,3,2,0,1,0,4,0,4,5,1,2
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",4,2,2,2,5,2,8,4,3,4,4,1,3,4,3,2,1,4,5,2,2,7,1,4,3,5,4,0,3,2,3,2,1,2,1,3,3,5,3,2,2
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,2,1,2,6,3,8,4,3,5,4,1,3,4,4,2,3,4,5,2,2,6,3,2,5,5,3,1,2,3,4,2,0,2,1,4,2,4,4,1,1
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1,3,0,1,6,4,9,4,3,4,3,0,3,4,4,2,3,4,6,1,2,7,3,4,5,4,3,0,3,2,3,3,0,1,0,5,1,3,5,2,2
Machinists,3,1,1,2,6,4,9,4,3,5,4,1,4,4,4,2,3,4,5,2,3,6,3,5,3,5,3,1,2,3,4,2,0,2,1,4,2,3,4,1,3
Metal-Refining Furnace Operators and Tenders,2,2,2,2,6,1,4,4,3,3,5,1,2,3,6,3,3,4,6,2,3,7,3,4,4,4,3,1,3,4,3,3,1,2,1,3,2,3,4,2,3
"Pourers and Casters, Metal",4,2,3,3,7,2,5,4,3,4,5,2,3,3,6,2,3,4,6,4,2,6,3,4,4,5,2,2,3,3,3,4,1,2,2,4,2,3,4,2,4
"Model Makers, Metal and Plastic",3,1,2,1,4,4,8,3,2,6,2,1,3,4,3,1,2,2,3,1,2,5,3,2,2,2,2,1,2,2,2,2,0,2,1,2,2,2,1,1,1
"Patternmakers, Metal and Plastic",2,2,1,1,5,5,8,4,2,3,4,0,3,4,4,2,2,2,4,3,1,3,4,6,3,4,2,0,3,2,3,2,0,2,1,4,1,2,4,0,2
Foundry Mold and Coremakers,1,1,1,1,5,1,4,3,1,2,4,0,0,1,6,1,1,4,5,2,1,8,1,3,2,5,2,0,1,3,2,3,0,1,0,3,2,3,2,1,2
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",1,2,1,1,4,1,7,4,2,4,3,0,1,3,4,2,2,2,4,1,2,7,2,4,3,3,3,1,2,2,2,2,0,1,0,2,2,2,3,2,2
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,3,6,2,6,2,8,5,5,5,5,1,5,5,5,2,5,6,6,4,4,7,5,5,7,7,5,2,5,4,4,2,2,2,2,6,4,5,6,3,4
Tool and Die Makers,2,3,1,1,4,6,6,4,3,6,3,1,3,4,3,2,2,3,5,2,2,6,5,5,4,4,2,0,2,3,3,2,0,2,0,3,2,2,5,1,3
"Welders, Cutters, Solderers, and Brazers",1,1,1,0,4,1,3,1,2,1,3,0,1,1,4,1,1,2,4,2,1,5,2,2,2,2,1,1,1,2,2,2,0,1,0,1,1,1,2,1,1
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2,1,1,2,5,3,5,4,2,4,3,1,1,3,7,2,2,3,4,2,3,8,3,4,4,3,2,1,3,2,3,4,1,2,1,4,2,1,3,1,3
